Part Number,Mfg Name,VID,Vendor Part Num,Description,Customer Ref,Part Value,Tol,Size,Qty-1,Qty-5,Qty-25,Part References,Value,XX
CRCW06030000ZSTB,Vishay,ME,71-CRCW0603000ZT-RT5,Thick Film Resistors - SMD 0603 1/10watt ZEROohm Jumper,res013,0,*,*,2,10,50,"R13, R14",0R,X
ERJ-3EKF1001V,Panasonic,ME,667-ERJ-3EKF1001V,Thick Film Resistors - SMD 0603 1Kohms 1% Tol,res018,1k,*,*,7,35,175,"R5, R9, R16, R23, R25, R27, R33",1K,X
CR0603-FX-1004ELF,Bourns,ME,652-CR0603FX-1004ELF,Thick Film Resistors - SMD 0603 1M 1% 1/10W,res003,1M,*,*,7,35,175,"R3, R7, R8, R11, R24, R26, R31",1M,X
C1608X7R1V105K080AE,TDK,ME,810-C1608X7R1V105KAE,CAP CER 1UF 35V 10% X7R 0603,capcer067,1u,10%,*,8,40,200,"C3, C4, C5, C6, C7, C18, C19, C23",1u,X
RC0603FR-073K3L,Yageo,ME,603-RC0603FR-073K3L,Thick Film Resistors - SMD 0603 3.3kohms 1% Tol,res139,3.3k,*,*,1,5,25,R28,3.3k,X
ERJ-3EKF4701V,Panasonic,ME,667-ERJ-3EKF4701V,Thick Film Resistors - SMD 0603 4.7Kohms 1% Tol,res027,4.7k,*,*,1,5,25,R15,4.7k,X
C2012X5R1E475K125AB,TDK,ME,810-C2012X5R1E475K,CAP CER 4.7uF 25volts X5R 10% 0805,capcer006,4.7u,10%,*,2,10,50,"C21, C31",4.7u,X
ERJ-3EKF4701V,Panasonic,ME,667-ERJ-3EKF4701V,Thick Film Resistors - SMD 0603 4.7Kohms 1% Tol,res027,4.7k,*,*,1,5,25,R35,4k7,X
CR0603-FX-1002HLF,Bourns,ME,652-CR0603-FX1002HLF,Thick Film Resistors - SMD 0603 10KOHM 1/10WATT 1%,res002,10k,*,*,6,30,150,"R1, R2, R10, R12, R22, R32",10k,X
GRM21BR6YA106KE43L,Murata,ME,81-GRM21BR6YA106KE3L,CAP CER 10UF 35V X5R 0805,capcer075,10u,*,805,15,75,375,"C1, C2, C10, C12, C13, C14, C15, C16, C17, C20, C24, C25, C26, C30, C33",10u,X
SRN4018-100M,Bourns,ME,652-SRN4018-100M,FIXED IND 10UH 1.3A 180 MOHM SMD,ind010,10u,*,*,1,5,25,L1,10u,X
C2012X5R1V226M125AC,TDK,ME,810-C2012X5R1V226MAC,CAP CER 22UF 35V X5R 0805,capcer078,22u,*,*,1,5,25,C32,22u,X
CR0603-FX-3302ELF,Bourns,ME,652-CR0603FX-3302ELF,Thick Film Resistors - SMD 0603 33K ohm 1%,res008,33k,*,*,2,10,50,"R17, R18",33k,X
06035D473MAT2A,AVX,ME,581-06035D473MAT2A,CAP CER 0.047UF 50V X5R 0603,capcer086,47n,20%,603,2,10,50,"C9, C29",47n,X
GCM1885C2A470JA16D,Murata,ME,81-GCM1885C2A470J16D,CAP CER 47PF 100V C0G/NP0 0603,capcer087,47p,5%,603,1,5,25,C11,47p,X
ERJ-3EKF5102V,Panasonic,ME,667-ERJ-3EKF5102V,Thick Film Resistors - SMD 0603 51Kohms 1% Tol,res046,51k,*,*,1,5,25,R19,51k,X
RC0603FR-0768KL,Yageo,ME,603-RC0603FR-0768KL,Thick Film Resistors - SMD 0603 68kohms 1% Tol,res138,68k,*,*,1,5,25,R34,68k,X
ERJ-3EKF8202V,Panasonic,ME,667-ERJ-3EKF8202V,RES SMD 82K OHM 1% 1/10W 0603,res042,82k,*,*,1,5,25,R41,82k,X
RC0603FR-07100RL,Yageo,ME,603-RC0603FR-07100RL,RES SMD 100 OHM 1% 1/10W 0603,res131,100,*,*,1,5,25,R29,100,X
ERJ-3EKF1003V,Panasonic,ME,667-ERJ-3EKF1003V,RES SMD 100K OHM 1% 1/10W 0603,res048,100k,*,*,2,10,50,"R6, R40",100k,X
EEE-1VA101XP,Panasonic,ME,667-EEE-1VA101XP,CAP ALUM 100UF 20% 35V SMD,capelec002,100u,*,*,1,5,25,C22,100u,X
RC0603FR-07180KL,Yageo,ME,603-RC0603FR-07180KL,Thick Film Resistors - SMD 0603 180K 1% 1/10W,res006,180k,*,*,1,5,25,R36,180k,X
ERJ-PA3F2200V,Panasonic,ME,667-ERJ-PA3F2200V,RES SMD 220 OHM 1% 1/4W 0603,res132,220,*,*,2,10,50,"R30, R37",220,X
GRM188R61H224KAC4D,Murata,ME,81-GRM188R61H224KACD,CAP CER 0.22UF 50V X5R 0603,capcer088,220n,10%,603,3,15,75,"C8, C27, C28",220n,X
ERJ-3EKF2400V,Panasonic,ME,667-ERJ-3EKF2400V,RES SMD 240 OHM 1% 1/10W 0603,res121,240,*,*,2,10,50,"R20, R21",240,X
CR0603-FX-4303ELF,Bourns,ME,652-CR0603FX-4303ELF,Thick Film Resistors - SMD 0603 430K ohm 1%,res010,430k,*,*,1,5,25,R39,430k,X
CR0603-FX-5103ELF,Bourns,ME,652-CR0603FX-5103ELF,Thick Film Resistors - SMD 0603 510kohms 1% Tol,res140,510k,1%,603,1,5,25,R4,510k,X
PTV09A-4020S-A104,Bourns,ME,652-PTV09A4020SA104,Potentiometers 9mm 100Kohms Audio,pot024,A100K,*,*,1,5,25,VOL,A100K,X
PTV09A-4020F-B502,Bourns,ME,652-PTV09A-4020FB502,Potentiometers 9mm 5Kohms Linear,pot023,B5K,*,*,1,5,25,TONE,B5K,X
3314G-2-103E,Bourns,ME,652-3314G-2-103E,TRIMMER 10K OHM 0.25W SMD,pottrim005,B10k,*,*,1,5,25,RV1,B10k,X
PTV09A-4020S-B104,Bourns,ME,652-PTV09A4020SB104,Potentiometers 9mm 100Kohms Linear,pot025,B100K,*,*,1,5,25,MIX,B100K,X
PTV09A-4020S-B504,Bourns,ME,652-PTV09A4020SB504,Potentiometers 9mm 500Kohms Linear,pot026,B500K,*,*,1,5,25,GAIN,B500K,X
3314G-1-504E,Bourns,ME,652-3314G-1-504E,TRIMMER 500K OHM 0.25W SMD,pottrim003,B500k,*,*,2,10,50,"VR1, VR2",B500k,X
BAV199235,NXP,ME,771-BAV199235,Rectifiers DIODE LOW LEAKAGE,diode002,BAV199,*,*,2,10,50,"D1, D2",BAV199,X
BLM31PG121SN1L,Murata,ME,81-BLM31PG121SN1L,EMI Filter Beads Chips & Arrays 1206 120 OHM,fer002,120,*,*,2,10,50,"FB1, FB2",BLM31PG121SN1L,X
591,Keystone electronics,ME,534-591,Cylindrical Battery Contacts Clips Holders & Springs AA/AAA SPRING CONT,con025,591,*,*,1,5,25,X1,CLIPAAA-CLIPAAA_2,X
PJ-202A,CUI,ME,490-PJ-202A,CONN POWER JACK 2.1MM PCB,con014,PJ-202A,*,*,1,5,25,J2,DCJ0202,X
SSL-LX5093GD,Lumex,ME,696-SSL-LX5093GD,LED GRN DIFF 5MM ROUND T/H,led010,Green,*,*,1,5,25,LED1,GREEN,X
NMJ4HCD2,REAN,ME,550-12202,Phone Connectors 2C MONO 2-SPST NC,con005,*,*,*,1,5,25,J1,INPUT,X
LM4041CIDBZR,Texas Instruments,ME,595-LM4041CIDBZR,Voltage References Adjustable Precision Mcrpwr Shunt .5%,vref002,LM4041CIDBZR,*,*,1,5,25,U4,LM4041CIDBZ,X
LME49723MA/NOPB,Texas Instruments,ME,926-LME49723MA/NOPB,Audio Amplifiers Dual Audio Op Amp,icopamp002,LME49723,*,*,2,10,50,"U1, U3",LME49723,X
MBR0520LT1G,ON Semiconductor,ME,863-MBR0520LT1G,Schottky Diodes & Rectifiers 0.5A 20V,diodes006,MBR0520,*,*,1,5,25,D3,MBR0520LT1G,X
MMBT5089,Fairchild Semiconductor,ME,512-MMBT5089,Transistors Bipolar - BJT NPN Transistor General Purpose ,bjt001,MMBT5089,*,*,3,15,75,"T1, T2, T3",MMBT5089,X
NFM3DPC223R1H3L,Murata,ME,81-NFM3DPC223R1H3L,EMI/RFI Suppressors & Ferrites 0.022uF 50V 2A',fer001,22n,*,*,1,5,25,CF1,NFM3DC,X
831-87-032-10-001101,APEM Inc.,ME,437-8318703210001101,Conn SIP Socket Strip SKT 32 POS 2mm Solder ST Thru-Hole,con024,831-87-032-10-001101,*,*,1,5,25,U2,NUTUBE 6P1,X
NMJ4HCD2,REAN,ME,550-12202,Phone Connectors 2C MONO 2-SPST NC,con005,*,*,*,1,5,25,J3,OUTPUT,X
TPS62175DQCR,Texas Instruments,ME,595-TPS62175DQCR,IC REG BUCK BST ADJ 0.5A 10WSON,icreg009,TPS62175,*,*,1,5,25,U5,TPS62175DQCR,X
1249,Keystone electronics,ME,534-1249,Test Points TP TERM BRS MATTE TINNED PLATED,tp001,*,*,*,5,25,125,"TP1, TP2, TP3, TP4, TP5",TPTP10R,X
MHS122K,APEM Inc.,ME,642-MHS122K,SWITCH SLIDE SPDT 300MA 30V,sw0013,MHS122K,*,*,1,5,25,S1,clip,X
